work_year	salary_in_usd	company_location
2023	185000	United States
2023	79600	United States
2023	208500	United States
2023	165000	United States
2023	100000	United States
2023	75000	United States
2023	185000	United States
2023	150000	United States
2023	48585	Spain
2023	38868	Spain
2023	137500	United States
2023	81500	United States
2023	130000	United States
2023	80000	United States
2023	230000	United States
2023	196000	United States
2023	202800	United States
2023	104300	United States
2023	216000	United States
2023	184000	United States
2023	212175	United States
2023	156000	United States
2023	184000	United States
2023	123000	United States
2023	111151	United States
2023	66691	United States
2023	190000	United States
2023	138700	United States
2023	95040	United States
2023	59400	United States
2023	197802	United States
2023	156453	United States
2023	308000	United States
2023	144000	United States
2023	172000	United States
2023	140000	United States
2023	89819	United Kingdom
2023	72593	United Kingdom
2023	185000	United States
2023	150000	United States
2023	154000	United States
2023	103000	United States
2023	180000	United States
2023	122400	United States
2023	80000	United States
2023	70000	United States
2023	120000	United States
2023	90000	United States
2023	227500	United States
2023	147500	United States
2023	150000	United States
2023	50000	United States
2023	73824	United Kingdom
2023	55368	United Kingdom
2023	220000	United States
2023	180000	United States
2023	331640	United States
2023	267720	United States
2023	190000	United States
2023	130000	United States
2023	160000	United States
2023	130000	United States
2023	150000	United States
2023	50000	United States
2023	172200	United States
2023	131200	United States
2023	250000	United States
2023	100000	United States
2023	178000	United States
2023	165000	United States
2023	202800	United States
2023	104300	United States
2023	155000	United States
2023	120000	United States
2023	280000	United States
2023	200000	United States
2023	184000	United States
2023	123000	United States
2023	202800	United States
2023	104300	United States
2023	73824	United Kingdom
2023	67672	United Kingdom
2023	290000	United States
2023	173200	United States
2023	235000	United States
2023	204000	United States
2023	300000	United States
2023	222000	United States
2023	160000	United States
2023	136000	United States
2023	206000	United States
2023	134000	United States
2023	155000	Canada
2023	105000	Canada
2023	287500	United States
2023	212500	United States
2023	190027	United States
2023	152022	United States
2023	19434	Greece
2023	130000	United States
2023	100000	United States
2023	250000	United States
2023	125000	United States
2023	131000	Colombia
2023	88000	Colombia
2023	80000	United States
2023	50000	United States
2023	198000	United States
2023	132000	United States
2023	125000	United States
2023	115000	United States
2023	184000	United States
2023	123000	United States
2023	145000	United States
2023	130000	United States
2023	170700	United States
2023	113900	United States
2023	184000	United States
2023	123000	United States
2023	280000	United States
2023	200000	United States
2023	185000	United States
2023	81000	United States
2023	220000	United States
2023	80000	United States
2023	185000	United States
2023	123000	United States
2023	80000	United States
2023	75000	United States
2023	150000	United States
2023	130000	United States
2023	53000	United States
2023	48000	United States
2023	369120	United Kingdom
2023	73824	United Kingdom
2023	150000	United States
